Cage Number, Current Revolutions, Revolutions per food, Time Recorded
2,1,12,Fri May 11 15:52:09 2018
3,1,13,Fri May 11 15:52:09 2018
4,50,14,Fri May 11 15:52:09 2018
5,1,15,Fri May 11 15:52:09 2018
6,1,16,Fri May 11 15:52:09 2018
7,55,17,Fri May 11 15:52:09 2018
8,1,18,Fri May 11 15:52:09 2018
1,1,11,Fri May 11 16:02:09 2018
2,1,12,Fri May 11 16:02:09 2018
3,1,13,Fri May 11 16:02:09 2018
4,50,14,Fri May 11 16:02:09 2018
5,1,15,Fri May 11 16:02:09 2018
6,1,16,Fri May 11 16:02:09 2018
7,55,17,Fri May 11 16:02:09 2018
8,1,18,Fri May 11 16:02:09 2018
1,1,11,Fri May 11 16:12:09 2018
2,1,12,Fri May 11 16:12:09 2018
3,1,13,Fri May 11 16:12:09 2018
4,50,14,Fri May 11 16:12:09 2018
5,1,15,Fri May 11 16:12:09 2018
6,1,16,Fri May 11 16:12:09 2018
7,55,17,Fri May 11 16:12:09 2018
8,1,18,Fri May 11 16:12:09 2018
1,1,11,Fri May 11 16:22:09 2018
2,1,12,Fri May 11 16:22:09 2018
3,1,13,Fri May 11 16:22:09 2018
4,50,14,Fri May 11 16:22:09 2018
5,1,15,Fri May 11 16:22:09 2018
6,1,16,Fri May 11 16:22:09 2018
7,55,17,Fri May 11 16:22:09 2018
8,1,18,Fri May 11 16:22:09 2018
1,1,11,Fri May 11 16:32:09 2018
2,1,12,Fri May 11 16:32:09 2018
3,1,13,Fri May 11 16:32:09 2018
4,50,14,Fri May 11 16:32:09 2018
5,1,15,Fri May 11 16:32:09 2018
6,1,16,Fri May 11 16:32:09 2018
7,55,17,Fri May 11 16:32:09 2018
8,1,18,Fri May 11 16:32:09 2018
1,1,11,Fri May 11 16:41:05 2018
2,1,12,Fri May 11 16:41:05 2018
3,1,13,Fri May 11 16:41:05 2018
4,1,14,Fri May 11 16:41:05 2018
5,1,15,Fri May 11 16:41:05 2018
6,1,16,Fri May 11 16:41:05 2018
7,1,17,Fri May 11 16:41:05 2018
8,1,18,Fri May 11 16:41:05 2018
1,1,11,Fri May 11 16:41:51 2018
2,1,12,Fri May 11 16:41:51 2018
3,1,13,Fri May 11 16:41:51 2018
4,1,14,Fri May 11 16:41:51 2018
5,1,15,Fri May 11 16:41:51 2018
6,1,16,Fri May 11 16:41:51 2018
7,1,17,Fri May 11 16:41:51 2018
8,1,18,Fri May 11 16:41:51 2018
